Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4TPAEAfhLcGvOK6iNzgOZm,"Allegria","Allegria","Gipsy Kings",2013-02-24,167000,59,false,,2026-07-13T22:16:37Z,"flamenco","GB Prod / Passport Songs Music",0.574,0.58,6,-16.536,0,0.0349,0.846,0.571,0.714,0.901,107.044,4
spotify:track:5cZx05fE3nAdFqXlXPUacZ,"Lovesong","Idol Eyes","Common Saints",2020-10-09,557573,56,false,,2026-07-09T15:08:48Z,"retro soul","Starsonics",0.653,0.514,11,-8.943,1,0.074,0.251,0.82,0.0729,0.521,83.024,4
spotify:track:51Y2shyUTLupo4DkQHd6sd,"Herbs & Wine","Velvet Seas","Kraak & Smaak;IVAR",2025-10-24,245297,45,false,,2026-07-09T15:00:19Z,"nu disco","Boogie Angst",0.747,0.785,5,-9.24,0,0.0504,0.122,0.00903,0.368,0.659,95.988,4
spotify:track:5cuTaQHMRFJCCVChBiyqRi,"Leave You","Leave You","Vulfmon;Jackie Evans",2026-06-11,209034,59,false,,2026-06-15T12:23:56Z,"","Vulf Records",0.624,0.437,0,-11.5,1,0.0385,0.713,0.00279,0.132,0.789,77.567,4
spotify:track:4CSKUENltc2dGwvGGtDRgI,"As Long As I Still Get You","As Long As I Still Get You","Vulfmon;Evangeline",2026-05-28,246192,51,false,,2026-06-15T00:22:39Z,"soul jazz","Vulf Records",0.681,0.17,0,-16.184,1,0.115,0.941,0.0277,0.105,0.225,142.909,4
spotify:track:4OJFkrRQqol4FsPesF8eu4,"Saturday in the Park - 2002 Remaster","Chicago V (Expanded & Remastered)","Chicago",1972-07-10,235666,74,false,,2026-05-29T21:45:56Z,"yacht rock,soft rock","Rhino",0.67,0.763,7,-6.864,1,0.0341,0.155,0,0.0799,0.61,114.398,4
spotify:track:4p2vGEMDxe6zauEBCdt8Qd,"Everybody Tells Me To Let Go","When The Silence Gets Too Loud","Beharie",2025-09-12,232613,31,false,,2026-05-18T20:34:10Z,"norwegian pop","Petroleum Records",0.682,0.643,0,-8.555,1,0.0311,0.681,0.748,0.103,0.662,108.005,4
spotify:track:5O7ivZ60NXuzWi1Myvk0U2,"Sauce","Sauce","Remi Wolf",2019-07-02,230174,46,false,,2026-05-11T17:29:56Z,"","Island Records",0.724,0.664,8,-6.626,0,0.309,0.397,0.000169,0.224,0.599,139.847,4
spotify:track:4XCGfHpGVq8xw800o5cwWs,"Les Fleurs","Come To My Garden","Minnie Riperton",1970-11-01,199293,67,false,,2026-05-04T23:04:26Z,"","CAPITOL CATALOG MKT (C92)",0.441,0.499,6,-9.453,1,0.0484,0.665,0.00000287,0.211,0.513,151.878,4
spotify:track:2dPjzW2SYPTZP0lKnlgwsn,"Ride That Dolphin","KNOWER FOREVER","KNOWER",2023-10-02,208500,31,false,,2026-04-30T18:16:26Z,"","Knower",0.803,0.526,2,-7.449,1,0.0513,0.253,0.0907,0.0965,0.681,139.864,4
