artist,album,first_listened,liked
Big Star,#1 Record,2026-08-08,false
Thundercat,Drunk,2026-08-08,false
CASIOPEA,MINT JAMS,2026-08-08,true
Cory Wong,The Optimist,2026-08-08,false
Sudan Archives,Natural Brown Prom Queen,2026-08-08,true
Adrianne Lenker,Bright Future,2026-08-08,true
Louis Cole,Quality Over Opinion,2026-08-08,false
The Bad Plus,These Are The Vistas,2026-08-08,false
Nala Sinephro,Space 1.8,2026-08-08,false
Bruno Pernadas,Private Reasons,2026-08-08,true
Mdou Moctar,Afrique Victime,2026-08-08,false
Fleet Foxes,Crack-Up,2026-08-08,false
Hiroshi Yoshimura,GREEN,2026-08-08,true
Little Simz,Sometimes I Might Be Introvert,2026-08-08,true
