date,category,artist,album,release_year,spotify_url
2026-07-15,focus,CASIOPEA,MINT JAMS,1982,https://open.spotify.com/album/5omZBDcrKx6gipquZKdkwa
2026-07-15,familiar_artist,Cory Wong,The Optimist,2018,https://open.spotify.com/album/0A8cq3cjiMMP8lI1SeG4GN
2026-07-15,new_artist,Sudan Archives,Natural Brown Prom Queen,2022,https://open.spotify.com/album/1QSo9HgowUqAc5BI3AdkqN
2026-07-16,focus,The Bad Plus,These Are The Vistas,2003,https://open.spotify.com/album/4OoDFQH7arXUyFbq9RD3t2
2026-07-16,familiar_artist,Louis Cole,Quality Over Opinion,2022,https://open.spotify.com/search/Louis%20Cole%20Quality%20Over%20Opinion
2026-07-16,new_artist,Adrianne Lenker,Bright Future,2024,https://open.spotify.com/album/2Y8WS7iDIZkvzB5GUeLvku
2026-07-17,focus,Mammal Hands,Floa,2016,https://open.spotify.com/album/6VADhGSIzo8ID3FgPyQ2Fg
2026-07-17,familiar_artist,Bruno Pernadas,Private Reasons,2021,https://open.spotify.com/album/2nM6deRSBP38953zHxpIL7
2026-07-17,new_artist,Nala Sinephro,Space 1.8,2021,https://open.spotify.com/album/5Svfamp6qQ2IfLVNVICpVm
2026-07-19,focus,Hiroshi Yoshimura,GREEN,1986,https://open.spotify.com/album/1tA76N9gawQrNcDkhGXx1A
2026-07-19,familiar_artist,Fleet Foxes,Crack-Up,2017,https://open.spotify.com/album/0xtTojp4zfartyGtbFKN3v
2026-07-19,new_artist,Mdou Moctar,Afrique Victime,2021,https://open.spotify.com/album/3ZZMK1Hd8E9Uzj1Tycdlf2
2026-07-20,focus,Booker T. & the M.G.'s,Green Onions,1962,https://open.spotify.com/album/7sH1dYMoRtFvKW0DLLx3PT
2026-07-20,familiar_artist,Madison Cunningham,Revealer,2022,https://open.spotify.com/album/3flejyQLaN7EolO3Vmg31D
2026-07-20,new_artist,Little Simz,Sometimes I Might Be Introvert,2021,https://open.spotify.com/album/4xCbgnq65GRQKSAkH1RExU
2026-07-21,focus,Herbie Hancock,Thrust,1974,https://open.spotify.com/search/Herbie%20Hancock%20Thrust
2026-07-21,familiar_artist,The Avalanches,Wildflower,2016,https://open.spotify.com/album/0j0djiGxLnBiW7meVc2PER
2026-07-21,new_artist,Yola,Walk Through Fire,2019,https://open.spotify.com/search/Yola%20Walk%20Through%20Fire
2026-07-21,focus,Hermanos Gutiérrez,El Bueno Y El Malo,2022,https://open.spotify.com/album/1amdsOYtz60qOm5EiWq8Qb
2026-07-21,familiar_artist,Hiatus Kaiyote,Tawk Tomahawk,2012,https://open.spotify.com/album/3s7dB6EHrYkaWjzfVbZfCo
2026-07-21,new_artist,Milton Nascimento & Lô Borges,Clube da Esquina,1972,https://open.spotify.com/album/5risYG7klZCSLMNxB9dZhf
2026-07-22,focus,Tycho,Epoch,2016,https://open.spotify.com/album/2hgVjzYQb3Yb5FHT8smg4T
2026-07-22,familiar_artist,Steely Dan,Aja,1977,https://open.spotify.com/album/5Zxv8bCtxjz11jjypNdkEa
2026-07-22,new_artist,SAULT,Untitled (Black Is),2020,https://open.spotify.com/album/0GPmuVuCdC5hCsiuy1wXle
2026-07-23,focus,Tortoise,TNT,1998,https://open.spotify.com/album/26QpVjamtdjHvXSfd7c7v7
2026-07-23,familiar_artist,D'Angelo,Voodoo,2000,https://open.spotify.com/album/5DSxltoQKaM1dWADGJ4i9v
2026-07-23,new_artist,Magdalena Bay,Imaginal Disk,2024,https://open.spotify.com/album/4HTy9WFTYooRjE9giTmzAF
2026-07-24,focus,Grant Green,Idle Moments,1965,https://open.spotify.com/album/1lDtUlOPGKp56gQ24MvmNG
2026-07-24,familiar_artist,Faye Webster,Underdressed at the Symphony,2024,https://open.spotify.com/album/0FDkRPm9cIRJ8qBkxj2Qny
2026-07-24,new_artist,Taeko Onuki,SUNSHOWER,1977,https://open.spotify.com/album/1tirkouCp0ofWI1IADUvy2
2026-07-26,focus,Ernest Ranglin,Below the Bassline,1996,https://open.spotify.com/album/2kqIgldmnjbg8VDpBf4JRX
2026-07-26,familiar_artist,Feist,Let It Die,2004,https://open.spotify.com/album/1dukVxiix2ckr6CMs1T1zI
2026-07-26,new_artist,Michael Kiwanuka,KIWANUKA,2019,https://open.spotify.com/album/1yIqauTni1V7l7djYAKSsZ
2026-07-27,focus,Dorothy Ashby,Afro-Harping,1968,https://open.spotify.com/album/1XEPKavl3nlI2qVt8HuA5n
2026-07-27,familiar_artist,Jamiroquai,Travelling Without Moving,1996,https://open.spotify.com/album/6yRZTqIL0fZJF64gjczddb
2026-07-27,new_artist,Crumb,Jinx,2019,https://open.spotify.com/album/6DxidEI7EhF8md8ev83iNY
2026-07-28,focus,Stan Getz & Charlie Byrd,Jazz Samba,1962,https://open.spotify.com/album/02RHeW2EeunpzF2qsMjHSv
2026-07-28,familiar_artist,Moses Sumney,Aromanticism,2017,https://open.spotify.com/album/3GEa8PdRoag1vtVUQCAla1
2026-07-28,new_artist,Cocteau Twins,Heaven or Las Vegas,1990,https://open.spotify.com/album/5lEphbceIgaK1XxWeSrC9E
2026-07-29,focus,Sven Wunder,Natura Morta,2021,https://open.spotify.com/album/2id7gpZfzmQYQRymRazBpQ
2026-07-29,familiar_artist,Jungle,Loving In Stereo,2021,https://open.spotify.com/album/1hykVcbmenjAoG7wwoXmCV
2026-07-29,new_artist,Fela Kuti,Zombie,1977,https://open.spotify.com/album/4CGGf13zt9Jva2ia4CKQi6
